customer_id,customer_name,city,region,segment,signup_date
C00001,Cliente 0001,Valparaíso,V,Retail,2024-10-08
C00002,Cliente 0002,Talca,VII,Retail,2025-03-08
C00003,Cliente 0003,Santiago,RM,Retail,2026-01-03
C00004,Cliente 0004,Antofagasta,II,Premium,2024-01-07
C00005,Cliente 0005,Temuco,IX,Retail,2025-01-24
C00006,Cliente 0006,Santiago,RM,Premium,2025-07-03
C00007,Cliente 0007,Viña del Mar,V,Premium,2025-01-05
C00008,Cliente 0008,Antofagasta,II,Corporate,2026-05-25
C00009,Cliente 0009,Temuco,IX,Retail,2024-12-29
C00010,Cliente 0010,Valparaíso,V,Retail,2024-06-24
C00011,Cliente 0011,Talca,VII,Retail,2024-11-28
C00012,Cliente 0012,Antofagasta,II,Retail,2025-08-03
C00013,Cliente 0013,Rancagua,VI,Retail,2024-05-22
C00014,Cliente 0014,Puerto Montt,X,Premium,2025-02-12
C00015,Cliente 0015,Valparaíso,V,Premium,2026-05-31
C00016,Cliente 0016,Viña del Mar,V,Retail,2025-01-25
C00017,Cliente 0017,Santiago,RM,Retail,2024-04-27
C00018,Cliente 0018,Antofagasta,II,Retail,2025-04-09
C00019,Cliente 0019,Talca,VII,Premium,2025-06-03
C00020,Cliente 0020,Viña del Mar,V,Retail,2025-01-17
C00021,Cliente 0021,Santiago,RM,Retail,2025-05-15
C00022,Cliente 0022,Antofagasta,II,Retail,2024-09-03
C00023,Cliente 0023,Valparaíso,V,Corporate,2025-06-29
C00024,Cliente 0024,Antofagasta,II,Retail,2025-09-13
C00025,Cliente 0025,La Serena,IV,Premium,2025-02-12
C00026,Cliente 0026,La Serena,IV,Retail,2024-12-12
C00027,Cliente 0027,Valparaíso,V,Premium,2024-03-01
C00028,Cliente 0028,Talca,VII,Retail,2025-11-16
C00029,Cliente 0029,Viña del Mar,V,Retail,2024-09-05
C00030,Cliente 0030,Puerto Montt,X,Retail,2025-02-24
C00031,Cliente 0031,Valparaíso,V,Retail,2026-01-15
C00032,Cliente 0032,Talca,VII,Retail,2025-03-08
C00033,Cliente 0033,Rancagua,VI,Premium,2026-05-26
C00034,Cliente 0034,Santiago,RM,Corporate,2026-02-10
C00035,Cliente 0035,,X,Corporate,2024-06-17
C00036,Cliente 0036,Rancagua,VI,Retail,2025-12-14
C00037,Cliente 0037,La Serena,IV,Corporate,2025-08-16
C00038,Cliente 0038,Rancagua,VI,Retail,2026-05-23
C00039,Cliente 0039,Concepción,VIII,Retail,2024-03-10
C00040,Cliente 0040,Viña del Mar,V,Retail,2025-09-26
C00041,Cliente 0041,Antofagasta,II,Retail,2026-01-03
C00042,Cliente 0042,,II,Retail,2026-02-08
C00043,Cliente 0043,Valparaíso,V,Retail,2024-08-06
C00044,Cliente 0044,La Serena,IV,Retail,2024-06-10
C00045,Cliente 0045,Talca,VII,Retail,2026-04-16
C00046,Cliente 0046,Concepción,VIII,Retail,2026-06-30
C00047,Cliente 0047,La Serena,IV,Premium,2024-07-27
C00048,Cliente 0048,Santiago,RM,Retail,2025-03-09
C00049,Cliente 0049,Antofagasta,II,Retail,2025-03-28
C00050,Cliente 0050,Concepción,VIII,Retail,2026-05-04
C00051,Cliente 0051,Antofagasta,II,Retail,2026-03-26
