order_id,order_item_id,product_id,quantity,unit_price,discount_pct,freight_value,item_total
O000001,1,P0115,1,602.48,0,2,604.48
O000002,1,P0089,1,625.43,0,11.81,637.24
O000003,1,P0076,1,1058.97,0.1,20.39,973.46
O000003,2,P0313,1,555.72,0,21.77,577.49
O000003,3,P0115,2,602.48,0,20.6,1225.56
O000004,1,P0185,1,8.75,0,9.31,18.06
O000005,1,P0070,2,298.91,0,7.09,604.91
O000005,2,P0018,1,598.9,0,13.34,612.24
O000006,1,P0250,1,375.47,0,10.83,386.3
O000007,1,P0082,1,362.46,0,15.42,377.88
O000008,1,P0063,2,310.44,0,19.75,640.63
O000008,2,P0220,1,103.24,0.1,6.3,99.22
O000009,1,P0068,1,148.48,0,31.48,179.96
O000009,2,P0024,5,832.14,0.1,20.89,3765.52
O000010,1,P0134,1,574.47,0.05,4.07,549.82
O000011,1,P0021,2,806.92,0.05,9.01,1542.16
O000012,1,P0096,1,224.82,0,16.0,240.82
O000013,1,P0019,2,618.71,0.15,5.92,1057.73
O000014,1,P0131,1,185.19,0,27.64,212.83
O000014,2,P0128,1,835.43,0.05,14.12,807.78
O000014,3,P0113,2,814.98,0,325.69,1955.65
O000015,1,P0170,1,444.66,0,7.45,452.11
O000015,2,P0007,1,306.83,0,4.59,311.42
O000016,1,P0163,1,825.28,0,4.99,830.27
O000016,2,P0213,1,693.96,0,12.09,706.05
O000016,3,P0120,1,62.98,0,10.5,73.48
O000017,1,P0238,1,645.9,0.1,9.0,590.31
O000018,1,P0021,1,806.92,0.05,15.4,781.97
O000019,1,P0058,1,156.02,0,3.83,159.85
O000019,2,P0191,1,654.69,0.05,16.68,638.64
O000019,3,P0276,1,820.81,0,25.29,846.1
O000020,1,P0199,1,324.1,0.15,11.91,287.4
O000020,2,P0206,1,75.89,0,2,77.89
O000021,1,P0291,1,657.02,0.05,8.25,632.42
O000021,2,P0058,1,156.02,0.05,4.06,152.28
O000021,3,P0047,1,224.37,0,5.18,229.55
O000022,1,P0092,1,901.51,0.15,15.34,781.62
O000023,1,P0117,1,794.64,0.05,19.59,774.5
O000024,1,P0091,1,86.5,0,7.98,94.48
O000024,2,P0204,1,387.0,0.2,16.36,325.96
O000025,1,P0011,4,363.12,0,3.27,1455.75
O000025,2,P0208,1,723.84,0.05,19.64,707.29
O000026,1,P0278,1,480.16,0,10.43,490.59
O000026,2,P0154,2,25.6,0.1,9.67,55.75
O000027,1,P0005,2,9999.99,0.15,2.39,17002.37
O000027,2,P0228,1,539.71,0.05,6.77,519.49
O000028,1,P0312,2,681.66,0.1,18.28,1245.27
O000029,1,P0264,2,502.16,0,13.09,1017.41
O000029,2,P0202,5,115.37,0,17.67,594.52
O000030,1,P0022,1,623.29,0.1,18.81,579.77
O000030,2,P0169,2,410.06,0,27.86,847.98
O000030,3,P0248,2,363.73,0,2,729.46
O000031,1,P0105,3,18.23,0.2,18.12,61.87
O000031,2,P0009,1,17.8,0.05,22.14,39.05
O000032,1,P0018,1,598.9,0.1,2,541.01
O000032,2,P0016,3,576.57,0,19.35,1749.06
O000033,1,P0060,3,27.23,0.05,3.61,81.22
O000033,2,P0166,1,20.64,0.15,15.56,33.1
O000034,1,P0167,1,9.0,0.05,12.98,21.53
