order_id,customer_id,purchase_datetime,status,estimated_delivery_datetime,delivered_datetime
O000001,C01105,2026-06-17 14:55:28,delivered,2026-06-27 14:55:28,2026-06-23 14:55:28
O000002,C00409,2024-09-12 05:44:29,delivered,2024-09-14 05:44:29,2024-09-23 05:44:29
O000003,C00515,2024-02-08 08:53:58,delivered,2024-02-14 08:53:58,2024-02-13 08:53:58
O000004,C02275,2025-03-16 02:52:19,cancelled,2025-03-27 02:52:19,
O000005,C00839,2024-10-30 06:41:00,delivered,2024-11-07 06:41:00,2024-11-02 06:41:00
O000006,C00577,2025-08-05 10:12:56,delivered,2025-08-16 10:12:56,2025-08-12 10:12:56
O000007,C00664,2026-04-14 20:21:20,delivered,2026-04-20 20:21:20,2026-04-17 20:21:20
O000008,C00883,2024-07-28 00:21:45,delivered,2024-08-02 00:21:45,2024-08-03 00:21:45
O000009,C01059,2026-04-15 17:45:15,delivered,2026-04-17 17:45:15,2026-04-19 17:45:15
O000010,C01061,2025-11-07 19:53:46,delivered,2025-11-10 19:53:46,2025-11-14 19:53:46
O000011,C00608,2024-12-13 18:24:54,processing,2024-12-16 18:24:54,
O000012,C01989,2024-09-12 22:50:08,delivered,2024-09-23 22:50:08,2024-09-15 22:50:08
O000013,C00205,2025-11-16 02:41:30,delivered,2025-11-18 02:41:30,2025-11-21 02:41:30
O000014,C00449,2025-05-20 03:42:52,delivered,2025-05-24 03:42:52,2025-05-24 03:42:52
O000015,C00076,2024-11-08 18:17:04,shipped,2024-11-17 18:17:04,
O000016,C00745,2025-02-10 15:33:05,delivered,2025-02-15 15:33:05,2025-02-15 15:33:05
O000017,C02423,2024-11-21 11:29:53,delivered,2024-12-02 11:29:53,2024-11-26 11:29:53
O000018,C01392,2024-04-09 07:04:57,delivered,2024-04-12 07:04:57,2024-04-13 07:04:57
O000019,C00709,2026-03-11 02:46:36,delivered,2026-03-17 02:46:36,2026-03-15 02:46:36
O000020,C01812,2025-10-15 19:05:36,delivered,2025-10-22 19:05:36,2025-10-20 19:05:36
O000021,C01165,2024-06-16 22:16:21,delivered,2024-06-21 22:16:21,2024-06-22 22:16:21
O000022,C00661,2025-07-06 12:15:26,delivered,2025-07-14 12:15:26,2025-07-12 12:15:26
O000023,C00245,2025-04-06 14:29:40,delivered,2025-04-14 14:29:40,2025-04-13 14:29:40
O000024,C02072,2024-12-10 23:07:10,delivered,2024-12-22 23:07:10,2024-12-22 23:07:10
O000025,C02458,2026-01-15 02:18:16,delivered,2026-01-22 02:18:16,2026-01-25 02:18:16
O000026,C00479,2025-04-16 18:19:11,delivered,2025-04-23 18:19:11,2025-04-25 18:19:11
O000027,C02430,2025-08-02 05:55:00,delivered,2025-08-07 05:55:00,2025-08-05 05:55:00
O000028,C01045,2025-07-26 12:48:49,delivered,2025-08-06 12:48:49,2025-07-31 12:48:49
O000029,C01200,2026-03-06 21:16:22,delivered,2026-03-12 21:16:22,2026-03-11 21:16:22
O000030,C00908,2024-01-01 20:15:12,processing,2024-01-12 20:15:12,
O000031,C00189,2025-11-26 12:33:28,delivered,2025-12-08 12:33:28,2025-11-28 12:33:28
O000032,C00080,2025-10-31 04:18:27,delivered,2025-11-04 04:18:27,2025-11-01 04:18:27
O000033,C01533,2024-06-17 10:57:17,cancelled,2024-06-25 10:57:17,
O000034,C01801,2026-03-23 01:04:13,delivered,2026-03-29 01:04:13,2026-03-26 01:04:13
O000035,C01616,2024-05-10 23:58:19,delivered,2024-05-13 23:58:19,2024-05-16 23:58:19
O000036,C00742,2025-08-21 11:06:52,delivered,2025-08-28 11:06:52,2025-09-02 11:06:52
O000037,C00488,2024-12-30 21:08:17,delivered,2025-01-10 21:08:17,2025-01-08 21:08:17
O000038,C00154,2025-06-09 17:16:25,delivered,2025-06-13 17:16:25,2025-06-15 17:16:25
O000039,C02313,2026-06-03 03:54:34,delivered,2026-06-15 03:54:34,2026-06-06 03:54:34
O000040,C01541,2025-10-06 15:39:22,delivered,2025-10-13 15:39:22,2025-10-15 15:39:22
O000041,C01395,2024-06-16 03:27:58,delivered,2024-06-26 03:27:58,2024-06-18 03:27:58
O000042,C01520,2026-04-23 17:51:01,delivered,2026-05-04 17:51:01,2026-04-26 17:51:01
O000043,C01893,2024-01-15 11:56:53,delivered,2024-01-25 11:56:53,2024-01-17 11:56:53
O000044,C00432,2025-03-31 17:02:23,delivered,2025-04-07 17:02:23,2025-04-04 17:02:23
O000045,C01617,2024-01-21 04:25:30,delivered,2024-01-26 04:25:30,2024-01-27 04:25:30
O000046,C02033,2024-07-29 13:48:11,delivered,2024-08-02 13:48:11,2024-08-05 13:48:11
O000047,C01845,2025-11-12 08:58:04,delivered,2025-11-19 08:58:04,2025-11-21 08:58:04
O000048,C00116,2026-05-25 05:46:02,delivered,2026-06-02 05:46:02,2026-06-04 05:46:02
O000049,C00839,2024-12-08 19:29:37,processing,2024-12-20 19:29:37,
O000050,C00551,2026-05-27 18:32:10,processing,2026-06-02 18:32:10,
O000051,C00015,2025-08-06 06:19:27,delivered,2025-08-16 06:19:27,2025-08-11 06:19:27
O000052,C00088,2025-10-19 15:28:01,delivered,2025-10-29 15:28:01,2025-10-21 15:28:01
O000053,C00387,2024-08-26 00:18:24,delivered,2024-09-06 00:18:24,2024-09-07 00:18:24
O000054,C01459,2025-04-06 16:48:52,delivered,2025-04-12 16:48:52,2025-04-12 16:48:52
O000055,C01945,2024-06-03 14:11:28,returned,2024-06-14 14:11:28,2024-06-12 14:11:28
O000056,C01252,2025-01-26 19:08:42,delivered,2025-02-03 19:08:42,2025-02-02 19:08:42
O000057,C01677,2025-07-10 21:14:26,delivered,2025-07-17 21:14:26,2025-07-15 21:14:26
O000058,C00310,2025-11-01 14:11:38,delivered,2025-11-05 14:11:38,2025-11-10 14:11:38
O000059,C00880,2025-08-24 09:49:33,delivered,2025-08-28 09:49:33,2025-09-05 09:49:33
O000060,C01927,2025-02-22 02:52:21,delivered,2025-03-05 02:52:21,2025-03-01 02:52:21
O000061,C02049,2025-06-22 09:48:09,delivered,2025-06-28 09:48:09,2025-06-23 09:48:09
O000062,C00809,2026-03-15 11:52:14,returned,2026-03-21 11:52:14,2026-03-19 11:52:14
O000063,C01195,2026-01-31 14:41:02,delivered,2026-02-11 14:41:02,2026-02-06 14:41:02
O000064,C01591,2024-01-10 19:43:31,delivered,2024-01-17 19:43:31,2024-01-19 19:43:31
O000065,C01065,2026-04-04 00:26:17,delivered,2026-04-09 00:26:17,2026-04-09 00:26:17
O000066,C01094,2026-06-21 23:26:45,delivered,2026-06-25 23:26:45,2026-06-25 23:26:45
O000067,C01074,2025-12-06 11:49:27,processing,2025-12-15 11:49:27,
O000068,C01175,2025-11-12 14:28:31,delivered,2025-11-14 14:28:31,2025-11-20 14:28:31
O000069,C02181,2026-01-02 13:37:35,delivered,2026-01-10 13:37:35,2026-01-05 13:37:35
O000070,C01267,2025-05-18 05:25:16,delivered,2025-05-25 05:25:16,2025-05-25 05:25:16
O000071,C01439,2025-12-16 14:34:13,cancelled,2025-12-20 14:34:13,
O000072,C01914,2026-04-29 02:55:53,delivered,2026-05-10 02:55:53,2026-05-06 02:55:53
O000073,C01550,2025-07-14 05:32:50,cancelled,2025-07-18 05:32:50,
O000074,C00802,2025-07-13 20:02:26,delivered,2025-07-17 20:02:26,2025-07-18 20:02:26
O000075,C01064,2026-06-05 00:39:56,delivered,2026-06-08 00:39:56,2026-06-14 00:39:56
O000076,C02035,2024-05-25 03:39:30,delivered,2024-06-06 03:39:30,2024-06-02 03:39:30
O000077,C01220,2025-05-01 04:15:06,delivered,2025-05-10 04:15:06,2025-05-06 04:15:06
O000078,C00039,2025-10-05 04:23:11,delivered,2025-10-14 04:23:11,2025-10-09 04:23:11
O000079,C00434,2025-03-12 01:00:03,delivered,2025-03-22 01:00:03,2025-03-16 01:00:03
O000080,C00029,2024-07-05 10:26:30,delivered,2024-07-17 10:26:30,2024-07-10 10:26:30
