payment_id,order_id,payment_type,installments,payment_value
PAY000001,O000001,credit_card,12,604.48
PAY000002,O000002,digital_wallet,1,637.24
PAY000003,O000003,debit_card,1,2776.51
PAY000004,O000004,digital_wallet,1,18.06
PAY000005,O000005,credit_card,3,1217.15
PAY000006,O000006,credit_card,1,386.3
PAY000007,O000007,credit_card,1,377.88
PAY000008,O000008,debit_card,1,739.85
PAY000009,O000009,digital_wallet,1,3945.48
PAY000010,O000010,credit_card,1,549.82
PAY000011,O000011,credit_card,2,1542.16
PAY000012,O000012,credit_card,1,240.82
PAY000013,O000013,credit_card,2,1057.73
PAY000014,O000014,credit_card,12,2976.26
PAY000015,O000015,credit_card,3,763.53
PAY000016,O000016,credit_card,3,1609.8
PAY000017,O000017,debit_card,1,590.31
PAY000018,O000018,debit_card,1,781.97
PAY000019,O000019,credit_card,2,1644.59
PAY000020,O000020,debit_card,1,365.29
PAY000021,O000021,credit_card,2,1014.25
PAY000022,O000022,credit_card,2,781.62
PAY000023,O000023,credit_card,6,774.5
PAY000024,O000024,credit_card,3,420.44
PAY000025,O000025,credit_card,1,2163.04
PAY000026,O000026,credit_card,6,546.34
PAY000027,O000027,credit_card,6,17521.86
PAY000028,O000028,credit_card,2,1245.27
PAY000029,O000029,debit_card,1,1611.93
PAY000030,O000030,CREDIT_CARD,1,2157.21
PAY000031,O000031,credit_card,2,100.92
PAY000032,O000032,debit_card,1,2290.07
PAY000033,O000033,credit_card,1,114.32
PAY000034,O000034,credit_card,3,1343.05
PAY000035,O000035,credit_card,3,675.85
PAY000036,O000036,credit_card,1,3805.43
PAY000037,O000037,credit_card,1,543.53
PAY000038,O000038,credit_card,3,1311.91
PAY000039,O000039,debit_card,1,249.11
PAY000040,O000040,debit_card,1,634.17
PAY000041,O000041,debit_card,1,712.49
PAY000042,O000042,credit_card,1,809.03
PAY000043,O000043,credit_card,1,2046.59
PAY000044,O000044,credit_card,2,413.69
PAY000045,O000045,digital_wallet,1,1941.4
PAY000046,O000046,credit_card,1,79.47
PAY000047,O000047,credit_card,12,204.34
PAY000048,O000048,credit_card,3,847.19
PAY000049,O000049,credit_card,1,1096.96
PAY000050,O000050,debit_card,1,183.56
PAY000051,O000051,credit_card,6,177.86
PAY000052,O000052,credit_card,3,1925.19
PAY000053,O000053,credit_card,1,4015.53
PAY000054,O000054,digital_wallet,1,730.69
