product_id,product_name,category,brand,unit_cost,unit_price,weight_g,stock
P0001,Producto 001,Juguetes,Nexo,154.85,342.26,11283,233
P0002,Producto 002,Libros,Pixel,312.24,556.12,6186,137
P0003,Producto 003,Mascotas,Nexo,81.66,146.76,10066,150
P0004,Producto 004,Oficina,Luma,316.66,803.36,3690,443
P0005,Producto 005,Mascotas,Andes,138.71,9999.99,1354,350
P0006,Producto 006,Juguetes,Atlas,74.45,202.12,6424,85
P0007,Producto 007,Belleza,Orion,139.96,306.83,11296,189
P0008,Producto 008,Hogar,Nexo,150.22,193.75,10631,250
P0009,Producto 009,Oficina,Terra,10.19,17.8,8041,395
P0010,Producto 010,Belleza,Luma,252.74,362.93,11116,457
P0011,Producto 011,Hogar,Atlas,241.2,363.12,3312,267
P0012,Producto 012,Electrónica,Andes,336.07,529.58,5089,45
P0013,Producto 013,Juguetes,Orion,46.46,110.57,6048,317
P0014,Producto 014,Oficina,,98.31,187.84,5248,23
P0015,Producto 015,Deportes,Andes,116.26,284.04,1477,18
P0016,Producto 016,Oficina,Andes,279.65,576.57,9249,30
P0017,Producto 017,Electrónica,Luma,146.95,237.22,8475,269
P0018,Producto 018,Deportes,Terra,224.73,598.9,7064,213
P0019,Producto 019,Oficina,Nexo,317.75,618.71,7295,143
P0020,Producto 020,Juguetes,Terra,393.33,1036.19,4631,277
P0021,Producto 021,Juguetes,Terra,315.89,806.92,4769,91
P0022,Producto 022,Hogar,Andes,325.72,623.29,5494,13
P0023,Producto 023,Electrónica,Pixel,321.44,587.39,3811,300
P0024,Producto 024,Deportes,,320.53,832.14,1184,106
P0025,Producto 025,Belleza,Nexo,224.0,343.24,1694,145
P0026,Producto 026,Ropa,Nexo,236.23,659.65,85000,73
P0027,Producto 027,Belleza,Nexo,181.81,406.86,7276,368
P0028,Producto 028,Electrónica,Pixel,149.05,305.36,11579,85
P0029,Producto 029,Hogar,Orion,322.93,490.19,8952,413
P0030,Producto 030,Hogar,Pixel,83.27,122.57,10620,3
P0031,Producto 031,Electrónica,Andes,209.76,397.25,8070,81
P0032,Producto 032,Oficina,Pixel,307.71,577.34,11619,44
P0033,Producto 033,Juguetes,Atlas,187.85,310.62,6000,287
P0034,Producto 034,Mascotas,Nova,132.87,293.49,8421,418
P0035,Producto 035,Oficina,Orion,292.9,544.32,9050,444
P0036,Producto 036,Accesorios,Pixel,29.08,67.34,3299,226
P0037,Producto 037,Mascotas,Pixel,382.85,1028.12,5388,93
P0038,Producto 038,Mascotas,Orion,297.43,778.2,1701,375
P0039,Producto 039,Hogar,Luma,97.56,205.22,3924,459
