review_id,order_id,review_score,review_comment,review_date
R000001,O000001,5,Llegó perfecto,2026-06-28
R000002,O000002,3,Experiencia normal,2024-09-19
R000005,O000005,5,Excelente producto,2024-11-12
R000006,O000006,5,Muy buena experiencia,2025-08-13
R000008,O000008,2,Podría mejorar,2024-08-17
R000009,O000009,4,Todo bien,2026-05-01
R000010,O000010,4,Todo bien,2025-11-25
R000016,O000016,5,Muy buena experiencia,2025-02-17
R000017,O000017,5,Llegó perfecto,2024-12-11
R000020,O000020,3,Experiencia normal,2025-10-19
R000021,O000021,5,,2024-06-25
R000022,O000022,5,Llegó perfecto,2025-07-10
R000023,O000023,5,Muy buena experiencia,2025-04-11
R000024,O000024,5,Muy buena experiencia,2024-12-27
R000025,O000025,3,Experiencia normal,2026-01-31
R000026,O000026,3,Experiencia normal,2025-05-05
R000027,O000027,1,No lo recomiendo,2025-08-20
R000028,O000028,5,,2025-08-10
R000029,O000029,5,Muy buena experiencia,2026-03-12
R000032,O000032,5,Llegó perfecto,2025-11-15
R000034,O000034,5,,2026-04-02
R000035,O000035,3,Experiencia normal,2024-05-18
R000036,O000036,3,Cumple lo esperado,2025-09-07
R000037,O000037,5,Llegó perfecto,2025-01-15
R000038,O000038,5,,2025-06-28
R000039,O000039,4,Recomendado,2026-06-14
R000041,O000041,4,Todo bien,2024-07-06
R000043,O000043,5,Llegó perfecto,2024-01-23
R000044,O000044,5,Llegó perfecto,2025-04-07
R000045,O000045,2,Demora excesiva,2024-02-09
R000046,O000046,3,,2024-08-10
R000047,O000047,5,Muy buena experiencia,2025-11-29
R000048,O000048,5,Muy buena experiencia,2026-06-07
R000051,O000051,5,Excelente producto,2025-08-15
R000052,O000052,4,Todo bien,2025-10-30
R000053,O000053,3,Cumple lo esperado,2024-08-30
R000054,O000054,5,Excelente producto,2025-04-26
R000055,O000055,1,,2024-06-12
R000056,O000056,5,Excelente producto,2025-02-04
R000057,O000057,4,Buena compra,2025-07-28
R000058,O000058,3,Cumple lo esperado,2025-11-09
R000059,O000059,2,Podría mejorar,2025-08-31
R000060,O000060,3,Experiencia normal,2025-02-25
R000061,O000061,5,Excelente producto,2025-06-29
R000062,O000062,1,No lo recomiendo,2026-03-25
R000063,O000063,5,Llegó perfecto,2026-02-04
R000064,O000064,5,Excelente producto,2024-01-19
R000065,O000065,5,,2026-04-11
R000066,O000066,5,Llegó perfecto,2026-07-09
R000068,O000068,1,Muy mala experiencia,2025-11-23
R000069,O000069,4,Recomendado,2026-01-11
R000070,O000070,1,Producto llegó tarde,2025-06-02
R000072,O000072,3,Cumple lo esperado,2026-05-15
R000074,O000074,4,Buena compra,2025-07-28
R000075,O000075,3,Aceptable,2026-06-15
R000076,O000076,5,Excelente producto,2024-06-03
R000077,O000077,5,Llegó perfecto,2025-05-15
R000078,O000078,5,,2025-10-21
R000080,O000080,5,Excelente producto,2024-07-09
R000081,O000081,4,Buena compra,2025-09-11
R000082,O000082,4,Buena compra,2024-07-26
R000083,O000083,4,Todo bien,2024-11-24
R000085,O000085,4,Todo bien,2024-12-09
R000086,O000086,4,Recomendado,2024-06-16
R000087,O000087,4,Todo bien,2025-11-28
R000088,O000088,3,Aceptable,2025-04-02
R000089,O000089,4,Buena compra,2025-09-26
R000090,O000090,5,Llegó perfecto,2026-06-10
R000091,O000091,3,Aceptable,2024-07-15
R000093,O000093,4,Todo bien,2024-01-19
R000095,O000095,3,,2026-03-27
R000096,O000096,5,Llegó perfecto,2024-12-25
R000099,O000099,4,Buena compra,2025-01-07
R000101,O000101,2,Demora excesiva,2024-05-15
R000102,O000102,3,Aceptable,2025-03-22
R000103,O000103,3,Aceptable,2024-10-10
R000104,O000104,3,Cumple lo esperado,2024-04-13
R000105,O000105,5,Llegó perfecto,2025-09-08
R000106,O000106,2,Producto regular,2026-01-05
R000108,O000108,5,,2024-09-13
R000109,O000109,1,Producto llegó tarde,2024-08-18
R000110,O000110,4,Buena compra,2026-05-09
R000111,O000111,5,Excelente producto,2024-05-06
R000112,O000112,3,Cumple lo esperado,2025-09-22
R000113,O000113,3,Experiencia normal,2024-08-27
R000114,O000114,5,Llegó perfecto,2025-03-22
R000116,O000116,1,Producto llegó tarde,2025-01-27
R000118,O000118,5,Muy buena experiencia,2026-01-25
R000119,O000119,4,Buena compra,2026-03-31
R000120,O000120,4,Buena compra,2024-08-04
R000121,O000121,5,,2026-07-05
R000123,O000123,2,Podría mejorar,2024-05-04
R000124,O000124,5,Llegó perfecto,2024-02-07
R000125,O000125,5,Muy buena experiencia,2025-07-19
R000126,O000126,5,Excelente producto,2025-02-09
R000129,O000129,5,Llegó perfecto,2024-04-05
R000130,O000130,3,,2024-08-15
R000131,O000131,3,,2024-01-23
R000132,O000132,1,No lo recomiendo,2024-01-25
R000133,O000133,5,,2025-07-04
R000134,O000134,1,,2025-08-22
R000135,O000135,4,Todo bien,2024-09-08
R000136,O000136,4,Buena compra,2026-06-25
R000138,O000138,4,Recomendado,2025-07-17
R000139,O000139,4,Recomendado,2025-11-18
R000140,O000140,5,Excelente producto,2026-06-01
R000141,O000141,2,Producto regular,2024-03-29
R000143,O000143,2,Producto regular,2025-04-02
R000144,O000144,1,No lo recomiendo,2025-02-04
R000146,O000146,1,Producto llegó tarde,2024-03-06
R000147,O000147,4,Recomendado,2024-06-25
R000148,O000148,2,Producto regular,2024-01-22
R000149,O000149,4,Buena compra,2025-10-20
R000150,O000150,5,Excelente producto,2024-07-17
R000151,O000151,5,Muy buena experiencia,2026-04-06
R000152,O000152,4,Todo bien,2025-03-16
R000153,O000153,4,Buena compra,2024-03-04
R000154,O000154,3,Cumple lo esperado,2026-06-30
